@relation _home_supun_Documents_wekafiles_Camel_case_final_cc_exc_long

@attribute tokens string
@attribute klass {Non_Flakey,Flakey}

@data
'test  partial  frame  write  assert  false  is  empty  outbuffer  byte  buffer  assert  array  equals  frame  flag  get  value  assert  flush  frame  type  to  byte  array  frame  consts  wrap  write  writable  channel  frame',Non_Flakey
'inherit  wf  false  parent  libs2  parent  libs3  check  subworkflow  lib  helper  parent  libs1  parent  libs4  parent  libs5  child  libs1  expected  libs1  expected  libs2  expected  libs3  expected  libs4  inherit  child2.so  expected  libs5  same.jar  test  create  proto  conf  with  sub  workflow  lib2  child  libs3  child  libs2  child  libs5  child1.jar  child  libs4',Flakey
'nn_host/  get  default  uri  set  tet  get  default  uri  no  scheme  trailing  slash  intercept  file  system  conf  no  scheme  in  default  fs  fs_  default_  name_  key',Non_Flakey
'end_  points  is_  security_  enabled  get  context  url  test  admin  queue  dump  oozie  url  header  testing  version  servlet  clear  admin  run  assert  equals  args  call  -oozie  -queuedump  servlet_  classes  run  test',Flakey
'p1  p2  should  fail  test  client  retries  if  max  attempts  not  set  get  kms  url  kp  e  any  string  then  return  create  key  conf  eq  any  when  fail  times  test3  mockito  mock  verify  then  throw',Non_Flakey
'action  num  test  coord  action  get  pretty  print  xml  utils  pass  expected  values  get  coord  conf  get  id  conf  app  path  add  record  to  coord  job  table  resource  xml  name  coordinator  job  create  coord  action  coord  coord-action-get.xml  _test  get  for  input  check  x  insert  the  action  coordinator  action  action  insert  record  coord  action  to  string  job  get  fs  test  case  dir',Flakey
'standard  charsets  get  content  assert  false  assert  equals  get  content  length  byte  buffer  get  bytes  capacity  is  repeatable  httpentity  assert  is  streaming  bytes  assert  not  null  message  content  test  basics  wrap',Non_Flakey
'get  id  assert  equals  get  status  execute  add  record  to  coord  job  table  call  coordinator  job  services  coord  job  get  cmd  assert  not  null  get  test  coord  suspend  with  error  postive  job  jpa  service',Flakey
'byte  param  should  handle  null  byte  param  assert  false  context  create  verify  has  violations  invoke  mock  controller  validation',Non_Flakey
'<property><name>hello</name><value>world</value></property>  foo  assert  false  conf  hello   meh  bar  world  get  error  code  assert  true  get  verify  parameters  </parameters></root>  xml  utils  <property><name>foo</name><value>bar</value></property>  parse  xml  get  message  assert  equals  <root  xmlns=\"uri:oozie:workflow:0.4\"><parameters>  str  1  fail  contains  2  ex  size  <property><name>hello</name></property>  ends  with  parameter  verifier  error  code  <property><name>meh</name></property>  test  verify  parameters  missing',Flakey
'cookie  de  get  name  cookie  then  return  ninja  constant  return  cookie  get  or  die  assert  equals  when  get  cookie  result  get  value  get  max  age  build  results  test  clear  language  clear  language  builder  ninja  properties  lang  ok  ninja_  test',Non_Flakey
'kills  add  node  def  enters  j2  seven  f2  workflow  instance  get  status  three  two  as  list  exits  assert  true  four  get  end  five  fails  six  f  one  abcde  start  j  assert  equals  size  test  wf  <worklfow-app/>  arrays  job  test  nested  fork',Flakey
'the  server  shall  authorize  the  access   but  should  not  drop  a  new  cookie  expires  token_  max_  inactive_  interval  new  cookie  _test  do  filter  authentication  max  inactive  interval  token_  validity_  sec  current  time  millis  authorized  max  inactives  with  renewed  activity  interval  system  test  token  with  valid  activity  interval',Non_Flakey
'call  test  action  start  command  check  coord  action  mytoken  get  time  add  record  to  action  table  me  action  id  myjob  -  coord-  action  start  command-  c@1  myapp',Flakey
'reason  adapter  assert  assert  null  check  request  support  assert  request  supported  reason  should  be  null  a  reason  this  request  is  not  supported.',Non_Flakey
'add  record  to  coord  job  table  for  waiting  coord-job-for-matd-relative.xml  get  id  date  utils  parse  date  oozie  tz  call  test  action  mater  for  hcatalog  relative  path  coordinator  job  2009-03-06  t010:00  z  2009-03-11  t10:00  z  start  time  end  time  job',Flakey
'fail  assert  buffer  index  out  of  bounds  exception  should  have  been  thrown  append  substring  stuff  substring  trimmed  test  substring  index  of  out  bound',Non_Flakey
'cluster  mtime  on  close  file  after  writing  stat  before  close  get  modification  time  (  conf  wait  active  get  file  status  ipc.client.connection.maxidletime  create  a  new  file  and  write  to  it  info  localhost  2s  closed  file.  dfs  config  keys  datanode  report  format  )  get  file  system  stm  set  int  before  close  is  max_  idle_  time  num  data  nodes  parameter  initialization  file  sys  get  name  node  port  print  datanode  report  shutdown  date  form  system  stat  after  close  assert  true  mdate  after  close  client  num  datanodes  addr  close  /simple.dat  write  file  cleanup  file  e  replicas  test  times  at  close  mtime  before  close  assert  equals  mtime  after  close  after  close  is  build  mdate  before  close  number  of  datanodes  file1  created  and  wrote  file  simple.dat  datanode  report  type',Flakey
'host5  host4  host7  host11  host6  host1  host3  somehost  host2  test  hash  code  someotherhost  host10  myhttp  assert  assert  true  hash  code  http  get  by  address  some  host  host9  inet  address  host8  127.0.0.1',Non_Flakey
'coordinator.xml  test  submit  no  username  set  <coordinator-app  name=\"  name\"  frequency=\"10\"  start=\"2009-02-01  t01:00  z\"  end=\"2009-02-03  t23:59  z\"  timezone=\"  utc\"  conf  exception  expected  if  user.name  is  not  set!  app  path  </configuration>  </workflow>  </action>  </coordinator-app>  sc  call  write  to  file  oozie  client  fail  app  xml  file://  get  test  case  dir  unit_  testing  <action>  <workflow>  <app-path>hdfs:///tmp/workflows/</app-path>  <controls>  <timeout>10</timeout>  <concurrency>2</concurrency>  conf.set(  oozie  client.  user_  name   get  test  user());  file  xmlns=\"uri:oozie:coordinator:0.2\">  <execution>  lifo</execution>  </controls>  <configuration>  <property>  <name>input  a</name>  <value>blah</value>  </property>',Flakey
'get  buffer  size  test  fs  output  stream  builder  create  file  get  bytes  assert  array  equals  path  assert  io_  file_  buffer_  size_  default  get  replication  get  block  size  read  fully  get  default  replication  get  file  status  buffer  write  get  permission  should  be  default  replication  factor  assert  that  get  default  block  size  block  size  input  get  int  test  set  0  to  replication   block  size  and  buffer  size  utf8  file  sys  should  be  default  buffer  size  and  permission  buffer  size  should  be  0  replication  factor  should  be  0  should  be  default  block  size  io_  file_  buffer_  size_  key  recursive  content  out  data  written.  stream  test_  root_  dir  block  size  should  be  0  get  len  builder  is  zero  fs  permission  close  replication  get  conf  e  content  origin  should  be  default  permission  the  data  be  read  should  equals  with  the  with  fail  message  test  builder  build  create  with  a  generic  type  of  create  file!  get  file  default  is  equal  to  open  buffer  size',Non_Flakey
'-start  end_  points  rest  constants  is_  security_  enabled  get  context  url  oozie  url  mock  dag  engine  service  run  assert  equals  test  start  args  call  1  -oozie  size  assert  true  get  job  servlet_  classes  run  test',Flakey
'has  field  violation  then  return  invoke  double  param  double  validation  should  work  when  param1  assert  true  context  create  verify  mock  controller  validation  blah  get  parameter',Non_Flakey
