,position,token,information_gain,total_ocurences,total_flaky_occurences,total_nonflaky_occurences
0,0,public_keyword,8.187894806610529e-16,80,80,0
1,1,acl,8.187894806610529e-16,6,6,0
2,2,created,8.187894806610529e-16,6,6,0
3,3,reader,8.187894806610529e-16,6,6,0
4,4,createdirwithhttp,7.91033905045424e-16,6,6,0
5,5,createsnapshot,7.91033905045424e-16,6,6,0
6,6,directory,7.91033905045424e-16,6,6,0
7,7,folder,7.91033905045424e-16,6,6,0
8,8,gethadoopusers,7.91033905045424e-16,6,6,0
9,9,hadoopusersconftesthelper,7.91033905045424e-16,6,6,0
10,10,init,7.91033905045424e-16,6,6,0
11,11,no,7.91033905045424e-16,6,6,0
12,12,touri,7.91033905045424e-16,6,6,0
13,13,write,7.91033905045424e-16,6,6,0
14,14,assertnotnull,1.1102230246251565e-16,28,28,0
15,15,loc,0.0,80,80,0
16,16,abstract_keyword,0.0,0,0,0
17,17,assert_keyword,0.0,68,68,0
18,18,boolean_keyword,0.0,0,0,0
19,19,break_keyword,0.0,0,0,0
20,20,byte_keyword,0.0,7,7,0
21,21,case_keyword,0.0,1,1,0
22,22,catch_keyword,0.0,7,7,0
23,23,char_keyword,0.0,0,0,0
24,24,class_keyword,0.0,18,18,0
25,25,continue_keyword,0.0,0,0,0
26,26,default_keyword,0.0,9,9,0
27,27,do_keyword,0.0,22,22,0
28,28,double_keyword,0.0,0,0,0
29,29,else_keyword,0.0,0,0,0
30,30,enum_keyword,0.0,0,0,0
31,31,exports_keyword,0.0,0,0,0
32,32,extends_keyword,0.0,0,0,0
33,33,final_keyword,0.0,39,39,0
34,34,finally_keyword,0.0,25,25,0
35,35,float_keyword,0.0,0,0,0
36,36,for_keyword,0.0,23,23,0
37,37,if_keyword,0.0,20,20,0
38,38,implements_keyword,0.0,0,0,0
39,39,import_keyword,0.0,0,0,0
40,40,instanceof_keyword,0.0,0,0,0
41,41,int_keyword,0.0,10,10,0
42,42,interface_keyword,0.0,0,0,0
43,43,long_keyword,0.0,5,5,0
44,44,modules_keyword,0.0,0,0,0
45,45,native_keyword,0.0,0,0,0
46,46,new_keyword,0.0,58,58,0
47,47,package_keyword,0.0,0,0,0
48,48,private_keyword,0.0,0,0,0
49,49,protected_keyword,0.0,0,0,0
50,50,requires_keyword,0.0,0,0,0
51,51,return_keyword,0.0,13,13,0
52,52,short_keyword,0.0,1,1,0
53,53,static_keyword,0.0,0,0,0
54,54,strictfp_keyword,0.0,0,0,0
55,55,super_keyword,0.0,0,0,0
56,56,switch_keyword,0.0,0,0,0
57,57,synchronized_keyword,0.0,0,0,0
58,58,this_keyword,0.0,5,5,0
59,59,throw_keyword,0.0,75,75,0
60,60,throws_keyword,0.0,75,75,0
61,61,transient_keyword,0.0,0,0,0
62,62,try_keyword,0.0,36,36,0
63,63,void_keyword,0.0,80,80,0
64,64,volatile_keyword,0.0,0,0,0
65,65,while_keyword,0.0,0,0,0
66,66,true_keyword,0.0,15,15,0
67,67,null_keyword,0.0,23,23,0
68,68,false_keyword,0.0,27,27,0
69,69,const_keyword,0.0,0,0,0
70,70,goto_keyword,0.0,0,0,0
71,71,keywordcount,0.0,80,80,0
72,72,$radius,0.0,1,1,0
73,73,$side,0.0,1,1,0
74,74,&infofilters=info2%20eq%203,0.0,1,1,0
75,75,&snapshotname=snap-renamed,0.0,1,1,0
76,76,*,0.0,3,3,0
77,77,+,0.0,1,1,0
78,78,-,0.0,1,1,0
79,79,---,0.0,2,2,0
80,80,/,0.0,4,4,0
81,81,//,0.0,3,3,0
82,82,//localhost,0.0,21,21,0
83,83,/acldirtest,0.0,1,1,0
84,84,/aclfiletest,0.0,1,1,0
85,85,/file,0.0,2,2,0
86,86,/file1,0.0,1,1,0
87,87,/file2,0.0,1,1,0
88,88,/foo,0.0,1,1,0
89,89,/html,0.0,1,1,0
90,90,/noacls,0.0,1,1,0
91,91,/noxattr,0.0,1,1,0
92,92,/perm,0.0,1,1,0
93,93,/perm/none,0.0,1,1,0
94,94,/perm/p-321,0.0,1,1,0
95,95,/perm/p-654,0.0,1,1,0
96,96,/perm/p-777,0.0,1,1,0
97,97,/rm,0.0,1,1,0
98,98,/test,0.0,1,1,0
99,99,/tmp,0.0,5,5,0
100,100,/tmp/foo,0.0,5,5,0
101,101,/tmp/foo1,0.0,1,1,0
102,102,/tmp/foo2,0.0,1,1,0
103,103,/tmp/log,0.0,1,1,0
104,104,/tmp/notunmasked,0.0,1,1,0
105,105,/tmp/notunmaskeddir,0.0,1,1,0
106,106,/tmp/tmp-snap-allow-test,0.0,1,1,0
107,107,/tmp/tmp-snap-diff-exc-test,0.0,1,1,0
108,108,/tmp/tmp-snap-diff-test,0.0,1,1,0
109,109,/tmp/tmp-snap-disallow-exception-test,0.0,1,1,0
110,110,/tmp/tmp-snap-disallow-test,0.0,1,1,0
111,111,/tmp/tmp-snap-test/,0.0,4,4,0
112,112,/tmp/unmasked,0.0,1,1,0
113,113,/tmp/unmaskeddir,0.0,1,1,0
