@relation _home_supun_Documents_wekafiles_Camel_case_final_cc_nocase

@attribute tokens string
@attribute klass {Non_Flakey,Flakey}

@data
'test  Partial  Frame  Write  assert  False  is  Empty  outbuffer  Byte  Buffer  assert  Array  Equals  Frame  Flag  get  Value  Assert  flush  Frame  Type  to  Byte  Array  Frame  Consts  wrap  write  writable  Channel  frame  testPartialFrameWrite  assertFalse  isEmpty  outbuffer  ByteBuffer  assertArrayEquals  FrameFlag  getValue  Assert  flush  FrameType  toByteArray  FrameConsts  wrap  write  writableChannel  frame',Non_Flakey
'inherit  WF  false  parent  Libs2  parent  Libs3  check  Subworkflow  Lib  Helper  parent  Libs1  parent  Libs4  parent  Libs5  child  Libs1  expected  Libs1  expected  Libs2  expected  Libs3  expected  Libs4  inherit  child2.so  expected  Libs5  same.jar  test  Create  Proto  Conf  With  Sub  Workflow  Lib2  child  Libs3  child  Libs2  child  Libs5  child1.jar  child  Libs4  inheritWF  false  parentLibs2  parentLibs3  checkSubworkflowLibHelper  parentLibs1  parentLibs4  parentLibs5  childLibs1  expectedLibs1  expectedLibs2  expectedLibs3  expectedLibs4  inherit  child2.so  expectedLibs5  same.jar  testCreateProtoConfWithSubWorkflowLib2  childLibs3  childLibs2  childLibs5  child1.jar  childLibs4',Flakey
'nn_host/  get  Default  Uri  set  tet  Get  Default  Uri  No  Scheme  Trailing  Slash  intercept  File  System  conf  No  scheme  in  default  FS  FS_  DEFAULT_  NAME_  KEY  nn_host/  getDefaultUri  set  tetGetDefaultUriNoSchemeTrailingSlash  intercept  FileSystem  conf  No scheme in default FS  FS_DEFAULT_NAME_KEY',Non_Flakey
'END_  POINTS  IS_  SECURITY_  ENABLED  get  Context  URL  test  Admin  Queue  Dump  oozie  Url  Header  Testing  Version  Servlet  clear  admin  run  assert  Equals  args  call  -oozie  -queuedump  SERVLET_  CLASSES  run  Test  END_POINTS  IS_SECURITY_ENABLED  getContextURL  testAdminQueueDump  oozieUrl  HeaderTestingVersionServlet  clear  admin  run  assertEquals  args  call  -oozie  -queuedump  SERVLET_CLASSES  runTest',Flakey
'p1  p2  Should  fail  test  Client  Retries  If  Max  Attempts  Not  Set  get  KMS  Url  kp  e  any  String  then  Return  create  Key  conf  eq  any  when  fail  times  test3  Mockito  mock  verify  then  Throw  p1  p2  Should fail  testClientRetriesIfMaxAttemptsNotSet  getKMSUrl  kp  e  anyString  thenReturn  createKey  conf  eq  any  when  fail  times  test3  Mockito  mock  verify  thenThrow',Non_Flakey
'action  Num  test  Coord  Action  Get  pretty  Print  Xml  Utils  Pass  expected  values  get  Coord  Conf  get  Id  conf  app  Path  add  Record  To  Coord  Job  Table  resource  Xml  Name  Coordinator  Job  create  Coord  Action  coord  coord-action-get.xml  _test  Get  For  Input  Check  X  Insert  the  action  Coordinator  Action  action  insert  Record  Coord  Action  to  String  job  get  Fs  Test  Case  Dir  actionNum  testCoordActionGet  prettyPrint  XmlUtils   Pass expected values  getCoordConf  getId  conf  appPath  addRecordToCoordJobTable  resourceXmlName  CoordinatorJob  createCoordAction  coord  coord-action-get.xml  _testGetForInputCheckX   Insert the action  CoordinatorAction  action  insertRecordCoordAction  toString  job  getFsTestCaseDir',Flakey
'Standard  Charsets  get  Content  assert  False  assert  Equals  get  Content  Length  Byte  Buffer  get  Bytes  capacity  is  Repeatable  httpentity  Assert  is  Streaming  bytes  assert  Not  Null  Message  content  test  Basics  wrap  StandardCharsets  getContent  assertFalse  assertEquals  getContentLength  ByteBuffer  getBytes  capacity  isRepeatable  httpentity  Assert  isStreaming  bytes  assertNotNull  Message content  testBasics  wrap',Non_Flakey
'get  Id  assert  Equals  get  Status  execute  add  Record  To  Coord  Job  Table  call  Coordinator  Job  Services  coord  Job  Get  Cmd  assert  Not  Null  get  test  Coord  Suspend  With  Error  Postive  job  jpa  Service  getId  assertEquals  getStatus  execute  addRecordToCoordJobTable  call  CoordinatorJob  Services  coordJobGetCmd  assertNotNull  get  testCoordSuspendWithErrorPostive  job  jpaService',Flakey
'byte  Param  Should  Handle  Null  byte  Param  assert  False  context  create  verify  has  Violations  invoke  mock  Controller  validation  byteParamShouldHandleNull  byteParam  assertFalse  context  create  verify  hasViolations  invoke  mockController  validation',Non_Flakey
'<property><name>hello</name><value>world</value></property>  foo  assert  False  conf  hello   meh  bar  world  get  Error  Code  assert  True  get  verify  Parameters  </parameters></root>  Xml  Utils  <property><name>foo</name><value>bar</value></property>  parse  Xml  get  Message  assert  Equals  <root  xmlns=\"uri:oozie:workflow:0.4\"><parameters>  str  1  fail  contains  2  ex  size  <property><name>hello</name></property>  ends  With  Parameter  Verifier  Error  Code  <property><name>meh</name></property>  test  Verify  Parameters  Missing  <property><name>hello</name><value>world</value></property>  foo  assertFalse  conf  hello  meh  bar  world  getErrorCode  assertTrue  get  verifyParameters  </parameters></root>  XmlUtils  <property><name>foo</name><value>bar</value></property>  parseXml  getMessage  assertEquals  <root xmlns=\"uri:oozie:workflow:0.4\"><parameters>  str  1  fail  contains  2  ex  size  <property><name>hello</name></property>  endsWith  ParameterVerifier  ErrorCode  <property><name>meh</name></property>  testVerifyParametersMissing',Flakey
