@relation _home_supun_Documents_wekafiles_dataset2_Tokens_arff_docs__home_supun_Documents_wekafiles_dataset2_LOC-weka.filters.unsupervised.attribute.Remove-R2_java_keywords.arff-weka.filters.unsupervised.attribute.Remove-R3

@attribute tokens string
@attribute loc numeric
@attribute abstract_keyword numeric
@attribute assert_keyword numeric
@attribute boolean_keyword numeric
@attribute break_keyword numeric
@attribute byte_keyword numeric
@attribute case_keyword numeric
@attribute catch_keyword numeric
@attribute char_keyword numeric
@attribute class_keyword numeric
@attribute continue_keyword numeric
@attribute default_keyword numeric
@attribute do_keyword numeric
@attribute double_keyword numeric
@attribute else_keyword numeric
@attribute enum_keyword numeric
@attribute exports_keyword numeric
@attribute extends_keyword numeric
@attribute final_keyword numeric
@attribute finally_keyword numeric
@attribute float_keyword numeric
@attribute for_keyword numeric
@attribute if_keyword numeric
@attribute implements_keyword numeric
@attribute import_keyword numeric
@attribute instanceof_keyword numeric
@attribute int_keyword numeric
@attribute interface_keyword numeric
@attribute long_keyword numeric
@attribute modules_keyword numeric
@attribute native_keyword numeric
@attribute new_keyword numeric
@attribute package_keyword numeric
@attribute private_keyword numeric
@attribute protected_keyword numeric
@attribute public_keyword numeric
@attribute requires_keyword numeric
@attribute return_keyword numeric
@attribute short_keyword numeric
@attribute static_keyword numeric
@attribute strictfp_keyword numeric
@attribute super_keyword numeric
@attribute switch_keyword numeric
@attribute synchronized_keyword numeric
@attribute this_keyword numeric
@attribute throw_keyword numeric
@attribute throws_keyword numeric
@attribute transient_keyword numeric
@attribute try_keyword numeric
@attribute void_keyword numeric
@attribute volatile_keyword numeric
@attribute while_keyword numeric
@attribute true_keyword numeric
@attribute null_keyword numeric
@attribute false_keyword numeric
@attribute const_keyword numeric
@attribute goto_keyword numeric
@attribute keywordcount numeric
@attribute klass {Non_Flakey,Flakey}

@data
'test  partial  frame  write  assert  false  is  empty  outbuffer  byte  buffer  assert  array  equals  frame  flag  get  value  assert  flush  frame  type  to  byte  array  frame  consts  wrap  write  writable  channel  frame  testpartialframewrite  assertfalse  isempty  outbuffer  bytebuffer  assertarrayequals  frameflag  getvalue  assert  flush  frametype  tobytearray  frameconsts  wrap  write  writablechannel  frame',14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,9,Non_Flakey
'inherit  wf  false  parent  libs2  parent  libs3  check  subworkflow  lib  helper  parent  libs1  parent  libs4  parent  libs5  child  libs1  expected  libs1  expected  libs2  expected  libs3  expected  libs4  inherit  child2.so  expected  libs5  same.jar  test  create  proto  conf  with  sub  workflow  lib2  child  libs3  child  libs2  child  libs5  child1.jar  child  libs4  inheritwf  false  parentlibs2  parentlibs3  checksubworkflowlibhelper  parentlibs1  parentlibs4  parentlibs5  childlibs1  expectedlibs1  expectedlibs2  expectedlibs3  expectedlibs4  inherit  child2.so  expectedlibs5  same.jar  testcreateprotoconfwithsubworkflowlib2  childlibs3  childlibs2  childlibs5  child1.jar  childlibs4',14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3,Flakey
'nn_host/  get  default  uri  set  tet  get  default  uri  no  scheme  trailing  slash  intercept  file  system  conf  no  scheme  in  default  fs  fs_  default_  name_  key  nn_host/  getdefaulturi  set  tetgetdefaulturinoschemetrailingslash  intercept  filesystem  conf  no scheme in default fs  fs_default_name_key',5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4,Non_Flakey
'end_  points  is_  security_  enabled  get  context  url  test  admin  queue  dump  oozie  url  header  testing  version  servlet  clear  admin  run  assert  equals  args  call  -oozie  -queuedump  servlet_  classes  run  test  end_points  is_security_enabled  getcontexturl  testadminqueuedump  oozieurl  headertestingversionservlet  clear  admin  run  assertequals  args  call  -oozie  -queuedump  servlet_classes  runtest',13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,9,Flakey
'p1  p2  should  fail  test  client  retries  if  max  attempts  not  set  get  kms  url  kp  e  any  string  then  return  create  key  conf  eq  any  when  fail  times  test3  mockito  mock  verify  then  throw  p1  p2  should fail  testclientretriesifmaxattemptsnotset  getkmsurl  kp  e  anystring  thenreturn  createkey  conf  eq  any  when  fail  times  test3  mockito  mock  verify  thenthrow',24,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,10,Non_Flakey
'action  num  test  coord  action  get  pretty  print  xml  utils  pass  expected  values  get  coord  conf  get  id  conf  app  path  add  record  to  coord  job  table  resource  xml  name  coordinator  job  create  coord  action  coord  coord-action-get.xml  _test  get  for  input  check  x  insert  the  action  coordinator  action  action  insert  record  coord  action  to  string  job  get  fs  test  case  dir  actionnum  testcoordactionget  prettyprint  xmlutils   pass expected values  getcoordconf  getid  conf  apppath  addrecordtocoordjobtable  resourcexmlname  coordinatorjob  createcoordaction  coord  coord-action-get.xml  _testgetforinputcheckx   insert the action  coordinatoraction  action  insertrecordcoordaction  tostring  job  getfstestcasedir',12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,5,Flakey
'standard  charsets  get  content  assert  false  assert  equals  get  content  length  byte  buffer  get  bytes  capacity  is  repeatable  httpentity  assert  is  streaming  bytes  assert  not  null  message  content  test  basics  wrap  standardcharsets  getcontent  assertfalse  assertequals  getcontentlength  bytebuffer  getbytes  capacity  isrepeatable  httpentity  assert  isstreaming  bytes  assertnotnull  message content  testbasics  wrap',9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,6,Non_Flakey
'get  id  assert  equals  get  status  execute  add  record  to  coord  job  table  call  coordinator  job  services  coord  job  get  cmd  assert  not  null  get  test  coord  suspend  with  error  postive  job  jpa  service  getid  assertequals  getstatus  execute  addrecordtocoordjobtable  call  coordinatorjob  services  coordjobgetcmd  assertnotnull  get  testcoordsuspendwitherrorpostive  job  jpaservice',16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,5,Flakey
'byte  param  should  handle  null  byte  param  assert  false  context  create  verify  has  violations  invoke  mock  controller  validation  byteparamshouldhandlenull  byteparam  assertfalse  context  create  verify  hasviolations  invoke  mockcontroller  validation',6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3,Non_Flakey
'<property><name>hello</name><value>world</value></property>  foo  assert  false  conf  hello   meh  bar  world  get  error  code  assert  true  get  verify  parameters  </parameters></root>  xml  utils  <property><name>foo</name><value>bar</value></property>  parse  xml  get  message  assert  equals  <root  xmlns=\"uri:oozie:workflow:0.4\"><parameters>  str  1  fail  contains  2  ex  size  <property><name>hello</name></property>  ends  with  parameter  verifier  error  code  <property><name>meh</name></property>  test  verify  parameters  missing  <property><name>hello</name><value>world</value></property>  foo  assertfalse  conf  hello  meh  bar  world  geterrorcode  asserttrue  get  verifyparameters  </parameters></root>  xmlutils  <property><name>foo</name><value>bar</value></property>  parsexml  getmessage  assertequals  <root xmlns=\"uri:oozie:workflow:0.4\"><parameters>  str  1  fail  contains  2  ex  size  <property><name>hello</name></property>  endswith  parameterverifier  errorcode  <property><name>meh</name></property>  testverifyparametersmissing',31,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,10,Flakey
'cookie  de  get  name  cookie  then  return  ninja  constant  return  cookie  get  or  die  assert  equals  when  get  cookie  result  get  value  get  max  age  build  results  test  clear  language  clear  language  builder  ninja  properties  lang  ok  ninja_  test  cookie    de  getname  cookie  thenreturn  ninjaconstant  returncookie  getordie  assertequals  when  getcookie  result  getvalue  getmaxage  build  results  testclearlanguage  clearlanguage  builder  ninjaproperties  lang  ok  ninja_test',11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,Non_Flakey
'kills  add  node  def  enters  j2  seven  f2  workflow  instance  get  status  three  two  as  list  exits  assert  true  four  get  end  five  fails  six  f  one  abcde  start  j  assert  equals  size  test  wf  <worklfow-app/>  arrays  job  test  nested  fork  kills  addnode  def  enters  j2  seven  f2  workflowinstance  getstatus  three  two  aslist  exits  asserttrue  four  get  end  five  fails  six  f  one  abcde  start  j  assertequals  size  testwf  <worklfow-app/>  arrays  job  testnestedfork',16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,7,Flakey
